num_lines,num_chars,num_tokens,num_IfStmt,avgTokenLength,numMethods,avgMethodLength,numSwitchStmt,numOfLoops,is_ai_generated
25,737,99,1,7.444444444,1,22,0,4,1
20,842,97,2,8.680412371,1,19,0,3,0
14,490,52,0,9.423076923,0,0,0,0,1
14,376,37,0,10.16216216,0,0,0,0,0
24,603,79,0,7.632911392,0,0,0,0,1
15,433,57,0,7.596491228,0,0,0,0,0
13,318,35,1,9.085714286,1,10,0,1,1
17,354,27,1,13.11111111,1,10,0,1,0
9,213,28,0,7.607142857,0,0,0,0,1
11,274,23,0,11.91304348,0,0,0,0,0
14,323,37,0,8.72972973,0,0,0,0,1
12,266,34,0,7.823529412,0,0,0,0,0
25,814,85,3,9.576470588,1,20,0,1,1
13,513,57,2,9,1,12,0,1,0
8,292,35,0,8.342857143,0,0,0,0,1
17,455,59,0,7.711864407,0,0,0,0,0
12,353,48,0,7.354166667,0,0,0,0,1
14,433,52,0,8.326923077,0,0,0,0,0
36,906,118,0,7.677966102,2,9,0,3,1
12,365,49,2,7.448979592,1,9,0,1,0
20,521,63,0,8.26984127,0,0,0,0,1
11,359,42,0,8.547619048,0,0,0,0,0
18,498,62,0,8.032258065,0,0,0,0,1
13,362,45,0,8.044444444,0,0,0,0,0
73,2155,283,5,7.614840989,4,9,0,6,1
80,2453,303,3,8.095709571,3,10,0,9,0
28,996,124,0,8.032258065,0,0,0,0,1
53,1583,191,0,8.287958115,0,0,0,0,0
44,1269,172,0,7.377906977,0,0,0,0,1
72,2086,257,0,8.116731518,0,0,0,0,0
47,1542,189,2,8.158730159,1,38,0,7,1
22,753,89,4,8.460674157,1,22,0,1,0
9,459,68,0,6.75,0,0,0,0,1
17,548,70,0,7.828571429,0,0,0,0,0
27,959,123,0,7.796747967,0,0,0,0,1
26,848,93,0,9.11827957,0,0,0,0,0
36,1185,165,1,7.181818182,2,7,0,4,1
20,842,97,2,8.680412371,1,19,0,3,0
19,788,87,0,9.057471264,0,0,0,0,1
14,376,37,0,10.16216216,0,0,0,0,0
28,1116,144,0,7.75,0,0,0,0,1
15,433,57,0,7.596491228,0,0,0,0,0
25,640,57,2,11.22807018,1,17,0,1,1
17,354,27,1,13.11111111,1,10,0,1,0
13,414,50,0,8.28,0,0,0,0,1
11,274,23,0,11.91304348,0,0,0,0,0
18,515,61,0,8.442622951,0,0,0,0,1
12,266,34,0,7.823529412,0,0,0,0,0
35,1453,169,2,8.597633136,1,19,0,1,1
13,513,57,2,9,1,12,0,1,0
16,614,76,0,8.078947368,0,0,0,0,1
17,455,59,0,7.711864407,0,0,0,0,0
29,1030,130,0,7.923076923,0,0,0,0,1
14,433,52,0,8.326923077,0,0,0,0,0
43,1071,135,2,7.933333333,2,10,0,2,1
12,365,49,2,7.448979592,1,9,0,1,0
36,1012,110,0,9.2,0,0,0,0,1
11,359,42,0,8.547619048,0,0,0,0,0
44,1061,127,0,8.354330709,0,0,0,0,1
13,362,45,0,8.044444444,0,0,0,0,0
80,2768,341,3,8.117302053,2,16,0,5,1
80,2453,303,3,8.095709571,3,10,0,9,0
29,971,123,0,7.894308943,0,0,0,0,1
53,1583,191,0,8.287958115,0,0,0,0,0
57,1776,235,0,7.557446809,0,0,0,0,1
72,2086,257,0,8.116731518,0,0,0,0,0
37,1185,127,2,9.330708661,1,27,0,2,1
22,753,89,4,8.460674157,1,22,0,1,0
14,582,61,0,9.540983607,0,0,0,0,1
17,548,70,0,7.828571429,0,0,0,0,0
40,1355,115,0,11.7826087,0,0,0,0,1
26,848,93,0,9.11827957,0,0,0,0,0
50,1268,145,6,8.744827586,1,43,0,5,1
20,842,97,2,8.680412371,1,19,0,3,0
7,291,34,0,8.558823529,0,0,0,0,1
14,376,37,0,10.16216216,0,0,0,0,0
33,882,107,0,8.242990654,0,0,0,0,1
15,433,57,0,7.596491228,0,0,0,0,0
14,351,34,1,10.32352941,1,10,0,1,1
17,354,27,1,13.11111111,1,10,0,1,0
9,213,28,0,7.607142857,0,0,0,0,1
11,274,23,0,11.91304348,0,0,0,0,0
15,324,32,0,10.125,0,0,0,0,1
12,266,34,0,7.823529412,0,0,0,0,0
12,354,48,0,7.375,1,9,0,2,1
13,513,57,2,9,1,12,0,1,0
8,298,34,0,8.764705882,0,0,0,0,1
17,455,59,0,7.711864407,0,0,0,0,0
17,404,31,0,13.03225806,0,0,0,0,1
14,433,52,0,8.326923077,0,0,0,0,0
19,470,43,2,10.93023256,1,16,0,1,1
12,365,49,2,7.448979592,1,9,0,1,0
17,444,44,0,10.09090909,0,0,0,0,1
11,359,42,0,8.547619048,0,0,0,0,0
26,699,59,0,11.84745763,0,0,0,0,1
13,362,45,0,8.044444444,0,0,0,0,0
22,661,94,3,7.031914894,2,12,0,2,1
80,2453,303,3,8.095709571,3,10,0,9,0
23,874,101,0,8.653465347,0,0,0,0,1
53,1583,191,0,8.287958115,0,0,0,0,0
39,1045,145,0,7.206896552,0,0,0,0,1
72,2086,257,0,8.116731518,0,0,0,0,0
21,707,108,1,6.546296296,1,18,0,3,1
22,753,89,4,8.460674157,1,22,0,1,0
20,608,59,0,10.30508475,0,0,0,0,1
17,548,70,0,7.828571429,0,0,0,0,0
30,966,91,0,10.61538462,0,0,0,0,1
26,848,93,0,9.11827957,0,0,0,0,0
17,410,53,1,7.735849057,1,10,0,2,1
20,842,97,2,8.680412371,1,19,0,3,0
7,230,19,0,12.10526316,0,0,0,0,1
14,376,37,0,10.16216216,0,0,0,0,0
16,394,55,0,7.163636364,0,0,0,0,1
15,433,57,0,7.596491228,0,0,0,0,0
16,390,42,1,9.285714286,1,11,0,1,1
17,354,27,1,13.11111111,1,10,0,1,0
9,230,28,0,8.214285714,0,0,0,0,1
11,274,23,0,11.91304348,0,0,0,0,0
15,322,23,0,14,0,0,0,0,1
12,266,34,0,7.823529412,0,0,0,0,0
16,438,60,1,7.3,1,11,0,2,1
13,513,57,2,9,1,12,0,1,0
11,400,50,0,8,0,0,0,0,1
17,455,59,0,7.711864407,0,0,0,0,0
16,425,55,0,7.727272727,0,0,0,0,1
14,433,52,0,8.326923077,0,0,0,0,0
12,233,28,0,8.321428571,1,7,0,1,1
12,365,49,2,7.448979592,1,9,0,1,0
15,394,43,0,9.162790698,0,0,0,0,1
11,359,42,0,8.547619048,0,0,0,0,0
21,480,47,0,10.21276596,0,0,0,0,1
13,362,45,0,8.044444444,0,0,0,0,0
35,956,145,2,6.593103448,2,11,0,6,1
80,2453,303,3,8.095709571,3,10,0,9,0
17,531,63,0,8.428571429,0,0,0,0,1
53,1583,191,0,8.287958115,0,0,0,0,0
30,751,85,0,8.835294118,0,0,0,0,1
72,2086,257,0,8.116731518,0,0,0,0,0
24,684,103,0,6.640776699,1,19,0,4,1
22,753,89,4,8.460674157,1,22,0,1,0
7,262,39,0,6.717948718,0,0,0,0,1
17,548,70,0,7.828571429,0,0,0,0,0
31,984,51,0,19.29411765,0,0,0,0,1
26,848,93,0,9.11827957,0,0,0,0,0
21,561,73,1,7.684931507,2,7,0,3,1
20,842,97,2,8.680412371,1,19,0,3,0
12,426,45,0,9.466666667,0,0,0,0,1
14,376,37,0,10.16216216,0,0,0,0,0
23,656,74,0,8.864864865,0,0,0,0,1
15,433,57,0,7.596491228,0,0,0,0,0
13,351,40,1,8.775,1,10,0,1,1
17,354,27,1,13.11111111,1,10,0,1,0
9,251,24,0,10.45833333,0,0,0,0,1
11,274,23,0,11.91304348,0,0,0,0,0
17,353,43,0,8.209302326,0,0,0,0,1
12,266,34,0,7.823529412,0,0,0,0,0
12,354,48,0,7.375,1,9,0,2,1
13,513,57,2,9,1,12,0,1,0
12,423,60,0,7.05,0,0,0,0,1
17,455,59,0,7.711864407,0,0,0,0,0
13,327,48,0,6.8125,0,0,0,0,1
14,433,52,0,8.326923077,0,0,0,0,0
50,1314,147,3,8.93877551,2,10,0,4,1
12,365,49,2,7.448979592,1,9,0,1,0
21,633,68,0,9.308823529,0,0,0,0,1
11,359,42,0,8.547619048,0,0,0,0,0
24,650,67,0,9.701492537,0,0,0,0,1
13,362,45,0,8.044444444,0,0,0,0,0
30,999,128,1,7.8046875,1,27,0,5,1
80,2453,303,3,8.095709571,3,10,0,9,0
18,583,82,0,7.109756098,0,0,0,0,1
53,1583,191,0,8.287958115,0,0,0,0,0
61,1772,245,0,7.232653061,0,0,0,0,1
72,2086,257,0,8.116731518,0,0,0,0,0
22,711,100,2,7.11,1,20,0,2,1
22,753,89,4,8.460674157,1,22,0,1,0
15,560,65,0,8.615384615,0,0,0,0,1
17,548,70,0,7.828571429,0,0,0,0,0
23,619,49,0,12.63265306,0,0,0,0,1
26,848,93,0,9.11827957,0,0,0,0,0
7,130,20,0,6.5,1,2,0,0,0
44,1401,258,5,5.430232558,2,11,0,0,1
38,1236,227,4,5.444933921,1,20,0,2,0
65,1928,382,5,5.047120419,2,24,0,5,1
57,2084,372,5,5.602150538,1,37,0,5,0
53,1572,248,2,6.338709677,2,8,0,1,1
52,1316,245,2,5.371428571,1,21,0,1,0
64,2377,406,0,5.854679803,1,28,0,3,1
40,1372,170,3,8.070588235,1,24,0,2,0
35,1152,200,0,5.76,1,9,0,2,1
36,1043,186,4,5.607526882,2,10,0,0,0
37,1205,195,1,6.179487179,1,11,0,1,1
110,3394,465,11,7.298924731,6,24,0,4,0
50,1335,254,2,5.255905512,2,11,0,3,1
69,2117,369,7,5.737127371,3,24,0,4,0
43,1138,208,1,5.432692308,1,14,0,2,1
74,2801,375,4,7.469333333,3,19,0,3,0
40,1278,205,1,6.234146341,2,4,0,0,1
42,1089,173,1,6.294797688,2,12,0,1,0
57,1873,322,11,5.816770186,1,37,0,3,1
43,1592,237,1,6.717299578,2,11,0,1,0
42,1217,239,2,5.092050209,1,15,0,2,1
45,1713,259,2,6.613899614,2,13,0,1,0
184,5255,660,2,7.962121212,10,10,0,5,1
