num_lines,num_chars,num_tokens,num_IfStmt,avgTokenLength,numMethods,avgMethodLength,numSwitchStmt,numOfLoops,is_ai_generated
16,401,58,2,6.913793103448276,1,13,0,1,1
20,842,97,2,8.68041237113402,1,19,0,3,0
12,311,27,0,11.518518518518519,0,0,0,0,1
14,376,37,0,10.162162162162161,0,0,0,0,0
24,758,97,0,7.814432989690721,0,0,0,0,1
15,433,57,0,7.5964912280701755,0,0,0,0,0
15,399,45,1,8.866666666666667,1,12,0,1,1
17,354,27,1,13.11111111111111,1,10,0,1,0
9,212,27,0,7.851851851851852,0,0,0,0,1
11,274,23,0,11.91304347826087,0,0,0,0,0
10,216,34,0,6.352941176470588,0,0,0,0,1
12,266,34,0,7.823529411764706,0,0,0,0,0
24,772,93,4,8.301075268817204,1,21,0,2,1
13,513,57,2,9.0,1,12,0,1,0
7,238,24,0,9.916666666666666,0,0,0,0,1
17,455,59,0,7.711864406779661,0,0,0,0,0
15,440,65,0,6.769230769230769,0,0,0,0,1
14,433,52,0,8.326923076923077,0,0,0,0,0
17,409,50,0,8.18,1,14,0,2,1
12,365,49,2,7.448979591836735,1,9,0,1,0
10,256,26,0,9.846153846153847,0,0,0,0,1
11,359,42,0,8.547619047619047,0,0,0,0,0
21,484,58,0,8.344827586206897,0,0,0,0,1
13,362,45,0,8.044444444444444,0,0,0,0,0
37,1037,149,2,6.959731543624161,2,9,0,4,1
80,2453,303,3,8.095709570957096,3,10,0,9,0
26,808,115,0,7.026086956521739,0,0,0,0,1
53,1583,191,0,8.287958115183246,0,0,0,0,0
48,1229,171,0,7.187134502923977,0,0,0,0,1
72,2086,257,0,8.116731517509727,0,0,0,0,0
20,647,97,3,6.670103092783505,1,19,0,2,1
22,753,89,4,8.460674157303371,1,22,0,1,0
12,368,42,0,8.761904761904763,0,0,0,0,1
17,548,70,0,7.828571428571428,0,0,0,0,0
17,599,92,0,6.510869565217392,0,0,0,0,1
26,848,93,0,9.118279569892474,0,0,0,0,0
14,432,60,1,7.2,1,10,0,2,1
20,842,97,2,8.68041237113402,1,19,0,3,0
12,427,54,0,7.907407407407407,0,0,0,0,1
14,376,37,0,10.162162162162161,0,0,0,0,0
26,515,39,0,13.205128205128204,0,0,0,0,1
15,433,57,0,7.5964912280701755,0,0,0,0,0
14,380,48,1,7.916666666666667,1,11,0,1,1
17,354,27,1,13.11111111111111,1,10,0,1,0
9,235,28,0,8.392857142857142,0,0,0,0,1
11,274,23,0,11.91304347826087,0,0,0,0,0
16,283,25,0,11.32,0,0,0,0,1
12,266,34,0,7.823529411764706,0,0,0,0,0
40,1204,164,4,7.341463414634147,1,37,0,4,1
13,513,57,2,9.0,1,12,0,1,0
12,466,58,0,8.03448275862069,0,0,0,0,1
17,455,59,0,7.711864406779661,0,0,0,0,0
18,340,30,0,11.333333333333334,0,0,0,0,1
14,433,52,0,8.326923076923077,0,0,0,0,0
15,401,50,0,8.02,1,12,0,1,1
12,365,49,2,7.448979591836735,1,9,0,1,0
9,263,30,0,8.766666666666667,0,0,0,0,1
11,359,42,0,8.547619047619047,0,0,0,0,0
13,309,22,0,14.045454545454545,0,0,0,0,1
13,362,45,0,8.044444444444444,0,0,0,0,0
103,2822,328,7,8.603658536585366,3,8,0,11,1
80,2453,303,3,8.095709570957096,3,10,0,9,0
11,345,48,0,7.1875,0,0,0,0,1
53,1583,191,0,8.287958115183246,0,0,0,0,0
31,766,56,0,13.678571428571429,0,0,0,0,1
72,2086,257,0,8.116731517509727,0,0,0,0,0
25,760,86,1,8.837209302325581,1,22,0,5,1
22,753,89,4,8.460674157303371,1,22,0,1,0
11,420,48,0,8.75,0,0,0,0,1
17,548,70,0,7.828571428571428,0,0,0,0,0
23,472,36,0,13.11111111111111,0,0,0,0,1
26,848,93,0,9.118279569892474,0,0,0,0,0
