num_lines,num_chars,num_tokens,num_IfStmt,avgTokenLength,numMethods,avgMethodLength,numSwitchStmt,numOfLoops,is_ai_generated
28,764,87,0,8.781609195,12,0,0,0,0
90,2159,265,0,8.147169811,8,7,0,0,0
181,5943,739,4,8.041948579,13,7,0,3,1
31,528,97,0,5.443298969,7,2,0,0,0
35,1169,212,0,5.514150943,1,9,0,2,0
498,14368,1751,40,8.205596802,37,13,5,2,0
5,83,11,0,7.545454545,0,0,0,0,0
98,1708,269,0,6.349442379,16,2,0,0,1
119,4601,654,4,7.035168196,4,7,0,1,1
85,2226,263,2,8.463878327,9,17,0,1,1
48,1335,145,0,9.206896552,4,6,0,0,1
49,1476,189,0,7.80952381,1,14,0,0,1
42,1371,184,2,7.451086957,3,6,0,1,1
96,2978,360,4,8.272222222,4,7,0,1,1
49,1093,163,0,6.705521472,1,21,0,1,0
38,1173,236,4,4.970338983,1,17,0,1,1
306,8353,829,2,10.07599517,13,2,0,2,0
80,2407,268,0,8.981343284,5,2,0,0,1
85,1662,285,0,5.831578947,7,2,0,0,0
59,1762,284,1,6.204225352,1,13,0,1,1
942,30009,3345,95,8.971300448,60,35,5,7,0
40,1041,174,2,5.982758621,1,23,0,1,1
95,3321,286,1,11.61188811,7,12,0,0,0
98,2466,344,0,7.168604651,4,31,0,0,0
98,2870,487,4,5.893223819,4,12,0,1,0
54,1559,227,0,6.86784141,2,9,0,0,0
46,949,161,1,5.894409938,1,18,0,2,0
77,1798,216,0,8.324074074,2,3,0,2,0
102,2057,280,0,7.346428571,11,5,0,0,0
39,1080,126,0,8.571428571,2,4,0,0,1
24,566,78,0,7.256410256,0,0,0,0,1
64,1790,225,1,7.955555556,3,2,0,0,1
117,3688,521,0,7.078694818,6,7,0,0,1
114,2376,386,0,6.155440415,19,2,0,0,1
25,466,69,0,6.753623188,2,2,0,0,1
19,429,53,0,8.094339623,0,0,0,0,1
115,3355,365,1,9.191780822,7,4,0,0,1
93,2691,439,6,6.129840547,4,3,0,5,1
27,789,99,0,7.96969697,1,4,0,0,0
219,5268,683,6,7.713030747,4,25,0,0,0
93,3376,440,5,7.672727273,4,20,0,1,1
15,276,39,0,7.076923077,3,0,0,0,1
122,2253,349,0,6.455587393,22,2,0,0,0
47,1407,170,5,8.276470588,3,16,0,7,0
31,408,98,0,4.163265306,5,2,0,0,0
214,4451,643,0,6.922239502,38,2,0,0,1
46,923,136,1,6.786764706,7,2,0,0,1
57,1518,205,5,7.404878049,3,1,0,2,1
62,1306,229,5,5.703056769,1,35,0,4,0
17,317,53,0,5.981132075,1,0,0,0,1
99,1823,339,0,5.377581121,8,0,0,0,0
56,1646,176,2,9.352272727,1,24,0,0,0
103,2977,357,6,8.338935574,3,10,0,0,1
95,2472,284,0,8.704225352,9,7,0,0,0
19,524,77,0,6.805194805,4,2,0,0,0
48,1313,132,0,9.946969697,2,3,0,0,1
182,6087,637,2,9.555729984,12,36,0,18,1
60,1718,208,0,8.259615385,1,17,0,0,1
45,1364,241,5,5.659751037,2,11,0,0,0
54,1427,149,0,9.577181208,5,7,0,0,1
48,1520,221,0,6.877828054,0,0,0,0,0
56,1742,273,0,6.380952381,0,0,0,0,1
77,1645,226,2,7.278761062,10,7,0,0,1
137,4050,564,8,7.180851064,6,8,0,0,1
64,1511,169,0,8.940828402,7,2,0,0,0
859,27432,3023,87,9.074429375,54,32,5,7,0
45,755,160,0,4.71875,9,2,0,0,0
289,9336,985,14,9.478172589,13,6,0,3,1
61,1724,206,1,8.368932039,1,2,0,0,1
70,1741,192,0,9.067708333,9,2,0,0,0
5,90,11,0,8.181818182,0,0,0,0,0
35,825,145,2,5.689655172,2,12,0,1,1
144,3575,437,0,8.180778032,11,30,0,0,0
263,6182,721,2,8.574202497,12,17,0,1,1
20,457,63,0,7.253968254,0,0,0,0,0
40,1081,135,0,8.007407407,1,7,0,0,0
64,1660,233,0,7.124463519,0,0,0,0,0
121,4129,414,3,9.973429952,12,4,0,0,1
120,3628,381,3,9.522309711,7,5,0,1,1
48,1159,183,0,6.333333333,11,0,0,0,0
59,1064,195,0,5.456410256,7,2,0,0,1
25,984,87,0,11.31034483,1,2,0,0,0
81,1975,251,0,7.868525896,14,2,0,0,0
49,1105,208,0,5.3125,6,1,0,0,0
51,1546,200,0,7.73,1,11,0,0,1
50,1597,237,0,6.738396624,2,2,0,0,0
17,562,74,0,7.594594595,1,0,0,0,0
110,2492,412,0,6.048543689,9,2,0,0,0
45,760,161,0,4.720496894,9,2,0,0,0
27,626,82,0,7.634146341,1,3,0,0,1
112,2308,408,2,5.656862745,6,7,0,0,0
23,654,63,0,10.38095238,3,2,0,0,0
62,1285,177,0,7.259887006,4,4,0,0,0
70,1178,243,0,4.847736626,9,2,0,0,1
114,2877,437,1,6.583524027,6,14,0,1,0
128,3700,482,11,7.676348548,7,7,0,4,1
115,2957,418,1,7.074162679,6,16,0,4,0
45,1510,228,4,6.622807018,1,27,0,1,1
26,528,107,0,4.934579439,3,4,0,2,1
106,2627,453,2,5.799116998,6,5,0,0,1
56,1575,194,1,8.118556701,2,27,0,0,0
66,1744,182,0,9.582417582,5,7,0,0,1
32,691,140,0,4.935714286,2,7,0,2,1
15,227,37,0,6.135135135,1,1,0,0,0
6,55,13,0,4.230769231,0,0,0,0,0
37,951,160,1,5.94375,1,17,0,2,1
16,432,49,0,8.816326531,1,2,0,0,1
176,5343,639,8,8.361502347,17,26,1,0,1
157,4277,625,1,6.8432,5,15,0,8,1
20,464,58,0,8.0,1,2,0,0,1
77,2437,300,0,8.123333333,1,2,0,0,1
73,2422,232,0,10.43965517,4,15,0,0,1
135,4129,486,8,8.495884774,2,17,0,1,0
67,1213,255,0,4.756862745,15,2,0,0,0
29,665,74,0,8.986486486,3,2,0,0,0
174,4892,596,13,8.208053691,9,12,0,1,1
31,635,120,2,5.291666667,1,17,0,2,1
13,481,70,0,6.871428571,0,0,0,0,0
57,1005,221,3,4.547511312,2,2,0,1,1
