num_lines,num_chars,num_tokens,num_IfStmt,avgTokenLength,numMethods,avgMethodLength,numSwitchStmt,numOfLoops,is_ai_generated
37,1175,120,1,9.791666667,2,5,0,0,1
142,3087,464,4,6.653017241,12,2,0,0,0
89,3386,338,2,10.01775148,2,10,0,1,1
133,4266,542,7,7.870848708,2,11,0,2,0
135,4165,503,3,8.280318091,5,14,0,2,1
209,5424,779,14,6.962772786,13,2,0,0,0
135,4846,503,3,9.634194831,5,14,0,2,1
50,1332,207,2,6.434782609,1,2,0,0,0
7,143,20,0,7.15,1,2,0,0,1
49,2302,365,0,6.306849315,0,0,0,0,0
40,1274,129,0,9.875968992,1,4,0,0,1
108,3032,500,4,6.064,2,7,0,0,0
110,3269,383,3,8.535248042,6,3,0,0,1
71,2025,338,4,5.99112426,1,13,0,0,0
64,1407,208,0,6.764423077,7,2,0,0,1
72,1862,339,4,5.787610619,1,13,0,0,0
124,2689,428,0,6.28271028,21,2,0,0,1
71,2027,340,4,5.961764706,1,13,0,0,0
98,2234,332,0,6.728915663,13,2,0,0,1
81,2069,362,6,5.715469613,1,19,0,0,0
98,2230,331,0,6.737160121,13,2,0,0,1
71,2047,341,4,6.002932551,1,13,0,0,0
86,2030,295,0,6.881355932,11,2,0,0,1
71,2049,343,4,5.973760933,1,13,0,0,0
62,1176,209,2,5.626794258,7,2,0,0,1
81,2090,365,6,5.726027397,1,19,0,0,0
90,1715,312,4,5.496794872,11,2,0,0,1
71,2061,343,4,6.008746356,1,13,0,0,0
42,1234,118,0,10.45762712,1,7,0,0,1
71,2039,340,4,5.997058824,1,13,0,0,0
44,1184,142,0,8.338028169,2,3,0,0,1
141,2752,480,5,5.733333333,5,14,0,2,0
17,317,53,0,5.981132075,1,0,0,0,1
85,2340,311,6,7.524115756,1,28,0,2,0
17,334,51,0,6.549019608,1,0,0,0,1
177,5271,711,18,7.41350211,1,69,0,2,0
45,1202,211,0,5.696682464,4,0,0,0,1
228,6584,935,9,7.04171123,35,2,1,1,0
0,4749,619,2,7.672051696,30,2,0,0,0
17,326,47,0,6.936170213,1,0,0,0,1
102,2838,376,4,7.54787234,17,2,0,0,0
105,2891,446,2,6.48206278,14,2,0,0,0
25,630,108,0,5.833333333,2,0,0,0,1
93,2987,441,17,6.77324263,7,33,0,0,0
67,1289,268,0,4.809701493,8,0,0,0,1
60,1958,252,2,7.76984127,7,13,0,0,0
93,2361,284,2,8.313380282,9,7,0,1,1
48,1373,199,2,6.899497487,4,10,0,0,0
37,1096,176,0,6.227272727,0,0,0,0,0
48,1449,224,2,6.46875,1,6,0,0,0
44,1233,188,0,6.558510638,1,2,0,0,0
82,2708,417,4,6.494004796,1,23,0,3,0
52,1579,232,3,6.806034483,1,10,0,0,0
66,2059,303,4,6.795379538,1,14,0,0,0
62,1837,191,1,9.617801047,4,3,0,0,1
50,1435,218,3,6.582568807,1,10,0,0,0
25,654,72,0,9.083333333,2,2,0,0,1
60,1644,252,5,6.523809524,1,17,0,1,0
10,256,26,0,9.846153846,1,0,0,0,1
54,1550,227,4,6.828193833,1,13,0,1,0
37,1327,130,0,10.20769231,1,14,0,1,1
44,1162,196,0,5.928571429,1,2,0,0,0
180,4773,609,7,7.837438424,16,4,0,1,1
28,1005,168,0,5.982142857,1,0,0,0,0
21,555,65,0,8.538461538,12,0,0,0,1
269,8676,1163,30,7.460017197,5,23,0,3,0
49,1337,154,0,8.681818182,0,0,0,0,1
44,1472,265,0,5.554716981,1,0,0,0,0
48,1034,190,2,5.442105263,7,2,0,0,1
49,1586,272,4,5.830882353,1,15,0,1,0
46,1012,195,2,5.18974359,7,2,0,0,1
40,1184,194,3,6.103092784,1,9,0,0,0
54,1226,234,2,5.239316239,9,2,0,0,1
48,1229,195,2,6.302564103,1,6,0,0,0
46,925,184,2,5.027173913,7,2,0,0,1
52,1589,249,4,6.381526104,1,11,0,0,0
55,1421,239,2,5.945606695,9,2,0,0,1
49,1658,244,8,6.795081967,1,22,0,1,0
74,1832,241,0,7.601659751,10,2,0,0,1
42,1263,195,0,6.476923077,1,2,0,0,0
32,558,92,0,6.065217391,0,0,0,0,1
59,1812,291,3,6.226804124,1,15,0,0,0
15,276,39,0,7.076923077,3,0,0,0,1
45,115,189,2,5.899470899,1,12,0,0,0
13,265,30,0,8.833333333,4,0,0,0,1
57,1679,277,5,6.061371841,2,2,0,1,0
98,2940,367,0,8.010899183,4,5,0,3,1
1175,32200,3853,70,8.357124319,49,8,0,7,0
154,4953,518,7,9.561776062,4,14,0,1,1
59,1367,226,0,6.048672566,4,2,0,0,0
115,2157,414,0,5.210144928,13,2,0,0,1
1390,40853,5086,107,8.032441998,40,12,0,10,0
117,2258,422,0,5.3507109,13,2,0,0,1
402,10616,1271,39,8.352478363,14,6,0,2,0
100,1934,364,0,5.313186813,11,2,0,0,1
288,7371,927,11,7.951456311,15,17,0,4,0
79,2001,358,0,5.589385475,13,2,0,0,1
114,2486,368,0,6.755434783,8,2,0,0,0
138,2672,507,0,5.270216963,17,2,0,0,1
49,1100,187,0,5.882352941,3,2,0,0,0
881,35500,3536,109,10.03959276,64,7,0,14,0
53,1466,205,0,7.151219512,2,4,0,0,0
244,7542,860,24,8.769767442,8,15,0,3,0
79,1988,353,0,5.631728045,13,2,0,0,1
74,2148,285,1,7.536842105,2,2,0,0,0
146,2775,528,0,5.255681818,17,2,0,0,1
501,14493,2152,46,6.734665428,20,21,0,4,0
49,1165,127,0,9.173228346,3,3,0,0,1
37,944,163,0,5.791411043,2,2,0,0,0
54,1241,135,0,9.192592593,4,3,0,0,1
49,1223,190,0,6.436842105,3,2,0,0,0
55,1423,174,2,8.17816092,1,30,0,2,1
96,3018,474,7,6.367088608,6,10,0,1,0
39,977,160,0,6.10625,7,2,0,0,1
149,4071,620,7,6.566129032,6,5,0,1,0
47,1754,272,0,6.448529412,0,0,0,0,1
85,2085,324,1,6.435185185,3,7,0,0,0
17,295,45,0,6.555555556,1,2,0,0,1
56,1371,269,0,5.096654275,3,0,0,0,0
53,1760,182,0,9.67032967,11,2,0,0,1
20,649,123,0,5.276422764,1,0,0,0,0
104,1757,366,0,4.800546448,15,2,0,0,1
1061,73298,8796,0,8.333105957,1,2,0,0,0
70,1163,243,0,4.78600823,9,2,0,0,1
213,7724,1236,8,6.249190939,5,14,0,3,0
70,1178,243,0,4.847736626,9,2,0,0,1
41,1334,224,0,5.955357143,0,0,0,0,0
31,525,119,0,4.411764706,5,2,0,0,1
98,2629,448,1,5.868303571,4,7,0,1,0
43,964,189,0,5.100529101,9,2,0,0,1
67,1971,304,1,6.483552632,1,5,0,0,0
55,1530,286,0,5.34965035,19,2,0,0,1
175,6008,444,6,13.53153153,11,9,0,3,0
161,5486,506,7,10.84189723,10,9,0,2,1
340,13478,1188,18,11.34511785,10,5,0,3,0
204,7480,649,9,11.52542373,8,4,0,2,1
174,6305,536,6,11.7630597,7,4,0,5,0
162,5741,505,8,11.36831683,9,11,0,3,1
70,2202,234,1,9.41025641,3,5,0,1,0
81,2519,279,1,9.028673835,3,8,0,1,1
306,11950,1128,15,10.59397163,10,14,0,3,0
289,9336,985,14,9.478172589,13,6,0,3,1
108,4090,329,3,12.43161094,3,33,0,0,0
137,4823,431,4,11.19025522,4,18,0,0,1
58,971,186,0,5.220430108,6,2,0,0,0
39,771,121,0,6.371900826,6,2,0,0,1
58,914,186,0,4.913978495,6,2,0,0,0
55,1071,186,0,5.758064516,7,2,0,0,1
83,2129,249,0,8.550200803,16,2,0,0,0
103,2845,373,0,7.627345845,17,2,0,0,1
158,2800,507,0,5.522682446,19,2,0,0,0
