num_lines,num_chars,num_tokens,num_IfStmt,avgTokenLength,numMethods,avgMethodLength,numSwitchStmt,numOfLoops,is_ai_generated
45,1494,136,1,10.98529412,2,9,0,0,0
48,1648,182,0,9.054945055,0,0,0,0,1
42,1468,175,0,8.388571429,1,16,0,0,0
121,2216,433,0,5.11778291,14,11,0,0,1
128,3700,482,11,7.676348548,7,7,0,4,1
396,17129,1692,0,10.12352246,0,0,0,0,1
29,1378,129,0,10.68217054,0,0,0,0,1
83,2418,282,1,8.574468085,6,3,0,0,0
44,1234,191,0,6.460732984,1,14,0,0,1
59,1943,159,0,12.22012579,1,12,0,0,0
28,658,117,0,5.623931624,1,12,0,1,1
76,1857,190,1,9.773684211,2,7,0,0,0
38,1215,197,7,6.16751269,2,22,0,1,0
73,2065,216,3,9.560185185,6,2,0,0,1
73,2422,232,0,10.43965517,4,15,0,0,1
60,1780,176,0,10.11363636,2,7,0,0,1
77,1747,232,1,7.530172414,7,2,0,1,0
100,2604,436,0,5.972477064,2,24,1,0,1
43,1426,237,4,6.016877637,2,16,0,1,0
53,1412,245,0,5.763265306,1,18,0,2,1
70,1741,192,0,9.067708333,9,2,0,0,0
73,2045,237,0,8.628691983,8,2,0,1,1
114,2376,386,0,6.155440415,19,2,0,0,1
152,3403,462,6,7.365800866,10,3,0,3,0
54,1045,184,0,5.679347826,3,2,0,0,0
73,1783,208,0,8.572115385,7,3,0,0,0
150,3549,413,0,8.593220339,3,45,0,7,0
69,2594,372,2,6.97311828,2,12,0,0,1
69,2594,364,0,7.126373626,1,21,0,0,1
127,3888,406,7,9.57635468,2,21,0,1,0
146,3793,452,10,8.39159292,4,23,0,1,0
92,2540,285,0,8.912280702,9,7,0,0,1
78,2065,273,3,7.564102564,1,28,0,0,0
77,2648,269,1,9.843866171,1,38,0,1,0
56,1004,180,0,5.577777778,4,2,0,0,0
53,1572,248,2,6.338709677,2,8,0,1,1
98,3133,504,3,6.216269841,3,6,0,2,1
33,861,142,1,6.063380282,1,17,0,1,1
153,2799,464,0,6.032327586,23,2,0,0,1
101,1759,299,4,5.882943144,5,2,0,0,0
51,1403,243,5,5.773662551,1,24,0,5,1
29,1297,181,0,7.165745856,1,12,0,0,0
38,1151,104,0,11.06730769,1,6,0,0,1
59,1626,259,3,6.277992278,2,10,0,3,1
93,3136,318,1,9.86163522,6,10,0,0,1
54,1600,187,3,8.556149733,2,5,0,2,1
32,759,146,0,5.198630137,2,4,0,1,1
168,5062,667,1,7.589205397,24,2,0,0,1
32,691,140,0,4.935714286,2,7,0,2,1
35,1099,93,1,11.8172043,2,2,0,0,0
138,4193,547,0,7.665447898,2,65,0,2,1
49,844,200,0,4.22,6,0,0,0,1
149,4030,481,5,8.378378378,4,2,0,0,0
30,838,132,0,6.348484848,2,2,0,0,1
232,9046,1137,11,7.956024626,14,2,1,1,1
113,2468,387,0,6.377260982,6,9,0,5,0
26,734,105,0,6.99047619,1,12,0,1,1
55,1791,344,5,5.206395349,2,24,0,5,0
144,4780,445,5,10.74157303,12,6,0,0,1
31,881,139,0,6.338129496,1,14,0,1,1
52,1771,264,0,6.708333333,2,23,0,0,1
77,1281,218,0,5.876146789,14,2,0,0,0
62,1752,206,0,8.504854369,1,14,0,0,0
30,983,126,0,7.801587302,3,2,0,0,1
20,375,80,0,4.6875,1,7,0,1,0
177,4941,536,4,9.218283582,6,14,0,1,0
38,1165,118,0,9.872881356,14,0,0,0,0
63,1766,336,7,5.255952381,1,37,0,0,1
101,3538,298,1,11.87248322,7,11,0,0,1
75,1744,202,0,8.633663366,10,2,0,0,0
45,1472,233,0,6.317596567,1,0,0,0,0
45,1171,153,0,7.653594771,4,4,0,1,1
41,1040,162,1,6.419753086,1,22,0,2,0
188,5144,564,2,9.120567376,4,7,0,0,0
56,1646,176,2,9.352272727,1,24,0,0,0
87,1769,321,4,5.510903427,2,7,0,4,0
57,885,190,0,4.657894737,9,2,0,0,0
95,1727,284,0,6.080985915,18,2,0,0,0
62,1653,257,0,6.431906615,3,2,0,1,1
317,5788,1196,3,4.839464883,25,2,0,0,0
37,1072,169,0,6.343195266,1,6,0,0,1
36,1073,184,0,5.831521739,2,0,0,0,0
42,1089,173,1,6.294797688,2,12,0,1,0
29,901,153,1,5.888888889,1,15,0,1,1
81,2594,281,1,9.231316726,2,9,0,0,1
1150,37070,4054,121,9.144055254,71,53,5,15,0
18,356,51,0,6.980392157,0,0,0,0,1
89,3474,511,1,6.798434442,8,3,0,0,0
40,1165,159,0,7.327044025,1,7,0,1,1
336,6536,1015,12,6.439408867,13,5,0,0,0
138,4001,435,1,9.197701149,9,2,0,0,1
57,1028,167,0,6.155688623,4,0,0,0,0
58,1657,168,0,9.863095238,4,7,0,0,1
41,1058,125,0,8.464,4,4,0,1,0
69,2055,238,0,8.634453782,3,3,0,0,1
97,2771,454,0,6.103524229,6,8,0,5,1
98,2883,465,1,6.2,4,2,0,0,0
48,1492,128,0,11.65625,3,5,0,0,1
122,4146,419,5,9.894988067,9,34,0,2,1
84,3047,253,1,12.04347826,6,12,0,0,0
112,2600,337,0,7.715133531,6,15,0,0,1
103,2977,357,6,8.338935574,3,10,0,0,1
43,1067,138,0,7.731884058,3,5,0,0,0
50,1727,131,1,13.18320611,1,15,0,0,0
52,1784,286,5,6.237762238,4,9,0,0,0
325,13176,1380,30,9.547826087,37,18,5,2,1
37,1198,98,0,12.2244898,1,10,0,0,0
90,1811,216,0,8.384259259,5,2,0,0,0
57,1072,226,0,4.743362832,2,4,0,0,0
58,1046,150,0,6.973333333,3,5,0,1,0
39,1192,150,0,7.946666667,2,9,0,1,1
58,1706,215,0,7.934883721,3,9,0,5,0
136,4771,416,5,11.46875,10,2,0,0,0
85,1964,277,0,7.090252708,3,11,0,0,0
100,2760,395,0,6.987341772,4,19,0,1,1
54,1427,149,0,9.577181208,5,7,0,0,1
93,3103,328,0,9.460365854,3,2,0,0,0
85,1745,257,0,6.789883268,9,4,0,0,0
96,3040,383,4,7.937336815,4,18,0,0,1
193,4261,682,6,6.247800587,4,24,0,4,0
60,1578,178,0,8.865168539,1,16,0,1,0
63,2286,175,0,13.06285714,3,4,0,0,1
41,1282,142,1,9.028169014,3,11,1,1,1
609,19454,2142,57,9.0821662,42,18,5,2,0
38,1072,215,3,4.986046512,1,17,0,1,0
161,3393,557,0,6.091561939,31,2,0,0,1
136,2550,434,0,5.875576037,18,2,0,0,1
107,3471,368,5,9.432065217,3,20,0,0,1
70,1301,217,0,5.995391705,14,2,0,0,1
57,910,165,0,5.515151515,10,2,0,0,1
59,1543,167,0,9.239520958,7,2,0,0,1
43,1796,115,0,15.6173913,1,12,0,0,0
59,1932,244,0,7.918032787,1,21,0,0,0
58,1541,254,0,6.066929134,1,25,0,2,1
118,3067,390,0,7.864102564,5,42,0,2,0
94,1835,277,0,6.624548736,16,2,0,0,1
112,4537,393,5,11.54452926,6,10,0,2,1
80,1852,273,0,6.783882784,6,2,0,0,1
41,1270,238,0,5.336134454,3,0,0,0,0
56,972,134,2,7.253731343,1,21,0,0,0
33,869,106,1,8.198113208,1,8,0,1,1
62,1155,174,0,6.637931034,10,2,0,0,0
142,5307,706,5,7.516997167,3,3,0,1,0
87,1640,256,0,6.40625,16,2,0,0,0
36,1163,198,0,5.873737374,1,13,0,1,1
57,895,149,0,6.006711409,1,14,0,4,0
51,1501,256,0,5.86328125,1,2,0,0,1
70,2522,211,0,11.95260664,23,0,0,0,1
63,1594,298,3,5.348993289,1,18,0,1,1
71,2439,426,3,5.725352113,2,30,0,5,0
67,2318,396,8,5.853535354,2,21,0,3,1
83,1866,260,0,7.176923077,4,13,0,0,0
98,1708,269,0,6.349442379,16,2,0,0,1
21,505,86,0,5.872093023,2,3,0,0,1
73,1800,189,1,9.523809524,2,7,0,0,0
157,4277,625,1,6.8432,5,15,0,8,1
57,1074,176,1,6.102272727,10,2,0,0,1
106,3517,303,0,11.60726073,9,2,0,0,0
113,4499,470,9,9.572340426,4,5,0,0,1
72,2678,258,0,10.41472868,8,3,0,0,1
27,655,112,0,5.848214286,1,11,0,1,0
43,1592,237,1,6.717299578,2,11,0,1,0
206,6689,714,1,9.368347339,4,16,0,1,0
46,1524,130,1,11.72307692,2,8,0,0,0
78,1893,230,0,8.230434783,7,7,0,0,0
102,2057,280,0,7.346428571,11,5,0,0,0
7,130,20,0,6.5,1,2,0,0,0
35,623,120,0,5.191666667,4,0,0,0,1
85,1985,232,0,8.556034483,9,2,0,0,1
87,2922,357,12,8.18487395,2,24,0,0,1
45,1211,205,1,5.907317073,1,16,0,0,1
70,2180,242,1,9.008264463,2,2,0,0,1
73,1184,213,0,5.558685446,6,0,0,0,1
117,3356,385,7,8.716883117,2,2,0,1,1
54,1641,209,2,7.851674641,5,2,0,1,1
17,356,78,0,4.564102564,1,5,0,1,0
35,825,145,2,5.689655172,2,12,0,1,1
65,1971,216,0,9.125,4,11,0,3,0
381,11014,1352,20,8.146449704,32,4,5,2,0
44,1648,117,1,14.08547009,1,12,0,0,0
60,1722,265,7,6.498113208,1,37,0,8,0
79,1432,201,0,7.124378109,1,28,0,5,0
328,11861,1409,23,8.418026969,36,5,2,2,1
59,1445,297,2,4.865319865,1,21,0,0,1
108,3959,389,7,10.17737789,4,17,0,1,1
40,1278,205,1,6.234146341,2,4,0,0,1
47,1585,297,3,5.336700337,4,7,0,3,0
40,1033,109,0,9.47706422,15,0,0,0,0
75,1603,222,1,7.220720721,3,6,0,0,0
30,1073,199,0,5.391959799,1,5,0,1,0
32,863,129,1,6.689922481,1,16,0,1,1
67,1686,298,0,5.657718121,1,18,0,3,1
41,1133,150,0,7.553333333,1,23,0,3,1
146,3088,515,0,5.996116505,20,18,0,0,1
62,2365,406,10,5.825123153,2,25,0,7,0
52,1300,154,0,8.961038961,4,12,0,0,1
84,3023,463,2,6.529157667,2,12,0,0,0
67,2534,206,3,12.30097087,2,10,0,0,0
16,334,72,0,4.638888889,1,5,0,1,0
43,1060,194,3,5.463917526,1,18,0,1,0
64,1841,286,3,6.437062937,4,10,0,6,1
83,2742,257,1,10.6692607,9,2,0,0,1
41,1284,127,0,10.11023622,1,6,0,0,1
105,1533,308,0,4.977272727,18,2,0,0,1
103,3944,325,3,12.13538462,6,2,0,1,0
81,1826,243,3,7.514403292,2,6,0,1,0
125,3520,424,10,8.301886792,4,6,0,1,0
40,978,167,2,5.856287425,1,23,0,2,1
242,9642,1149,17,8.391644909,31,2,1,3,1
