num_lines,num_chars,num_tokens,num_IfStmt,avgTokenLength,numMethods,avgMethodLength,numSwitchStmt,numOfLoops,is_ai_generated
7,130,20,0,6.5,1,2,0,0,0
44,1401,258,5,5.430232558,2,11,0,0,1
38,1236,227,4,5.444933921,1,20,0,2,0
65,1928,382,5,5.047120419,2,24,0,5,1
57,2084,372,5,5.602150538,1,37,0,5,0
53,1572,248,2,6.338709677,2,8,0,1,1
52,1316,245,2,5.371428571,1,21,0,1,0
64,2377,406,0,5.854679803,1,28,0,3,1
40,1372,170,3,8.070588235,1,24,0,2,0
35,1152,200,0,5.76,1,9,0,2,1
36,1043,186,4,5.607526882,2,10,0,0,0
37,1205,195,1,6.179487179,1,11,0,1,1
110,3394,465,11,7.298924731,6,24,0,4,0
50,1335,254,2,5.255905512,2,11,0,3,1
69,2117,369,7,5.737127371,3,24,0,4,0
43,1138,208,1,5.432692308,1,14,0,2,1
74,2801,375,4,7.469333333,3,19,0,3,0
40,1278,205,1,6.234146341,2,4,0,0,1
42,1089,173,1,6.294797688,2,12,0,1,0
57,1873,322,11,5.816770186,1,37,0,3,1
43,1592,237,1,6.717299578,2,11,0,1,0
42,1217,239,2,5.092050209,1,15,0,2,1
45,1713,259,2,6.613899614,2,13,0,1,0
184,5255,660,2,7.962121212,10,10,0,5,1
44,1402,260,2,5.392307692,1,23,0,3,0
38,1129,153,0,7.379084967,3,3,0,1,1
45,1410,184,4,7.663043478,2,17,0,1,0
57,1747,189,0,9.243386243,2,11,0,0,1
43,1426,237,4,6.016877637,2,16,0,1,0
39,1192,150,0,7.946666667,2,9,0,1,1
51,1692,264,4,6.409090909,4,11,0,0,0
74,2265,279,3,8.11827957,5,4,0,3,1
89,2601,395,5,6.584810127,5,21,0,3,0
41,937,142,0,6.598591549,4,2,0,0,1
111,4181,517,11,8.087040619,5,23,0,5,0
75,2203,314,3,7.015923567,2,38,0,3,1
38,1072,215,3,4.986046512,1,17,0,1,0
36,1365,153,0,8.921568627,1,24,0,0,1
33,1021,189,0,5.402116402,1,12,0,2,0
47,1483,201,1,7.378109453,1,31,0,1,1
74,4640,823,4,5.637910085,1,26,0,4,0
52,1358,174,0,7.804597701,5,4,0,1,1
30,1047,191,3,5.481675393,1,14,0,1,0
96,2101,321,0,6.54517134,11,2,0,1,1
81,2027,339,7,5.979351032,5,4,0,2,0
45,1171,153,0,7.653594771,4,4,0,1,1
28,1002,194,1,5.164948454,1,11,0,1,0
52,1771,264,0,6.708333333,2,23,0,0,1
30,1073,199,0,5.391959799,1,5,0,1,0
59,1808,233,1,7.759656652,2,27,0,0,1
78,2694,443,12,6.081264108,4,27,0,9,0
97,2726,374,1,7.288770053,6,14,0,1,1
62,2365,406,10,5.825123153,2,25,0,7,0
99,2961,387,2,7.651162791,6,14,0,1,1
31,1047,201,2,5.208955224,1,13,0,1,0
70,2233,234,0,9.542735043,4,11,0,3,1
35,1348,188,1,7.170212766,2,9,0,1,0
30,1449,164,0,8.835365854,2,8,0,0,1
43,1647,241,4,6.834024896,1,26,0,1,0
27,1385,185,0,7.486486486,1,12,0,0,1
48,1656,261,4,6.344827586,2,16,0,2,0
57,924,172,0,5.372093023,10,2,0,0,1
40,1288,197,2,6.538071066,2,5,0,0,0
120,3695,388,0,9.523195876,9,10,0,1,1
71,2439,426,3,5.725352113,2,30,0,5,0
120,3628,381,3,9.522309711,7,5,0,1,1
46,1370,249,4,5.502008032,1,27,0,2,0
54,1641,209,2,7.851674641,5,2,0,1,1
43,1060,194,3,5.463917526,1,18,0,1,0
73,1874,216,0,8.675925926,5,2,0,0,1
37,1228,203,3,6.049261084,1,24,0,3,0
40,1136,136,0,8.352941176,4,7,0,0,1
57,1787,292,2,6.119863014,2,20,0,2,0
53,1223,153,0,7.993464052,4,6,0,0,1
47,1585,297,3,5.336700337,4,7,0,3,0
99,3035,324,0,9.367283951,8,2,0,1,1
32,1038,183,2,5.672131148,1,16,0,2,0
52,1526,168,0,9.083333333,4,3,0,0,1
41,1090,202,2,5.396039604,1,6,0,0,0
63,1495,220,0,6.795454545,3,2,0,4,1
69,2186,320,3,6.83125,4,10,0,6,0
66,1894,224,0,8.455357143,5,9,0,0,1
69,2278,322,3,7.074534161,4,10,0,6,0
73,2077,237,0,8.76371308,4,11,0,3,1
58,1540,274,3,5.620437956,1,18,0,1,0
40,1359,203,2,6.694581281,1,22,0,1,1
62,2209,346,8,6.384393064,2,21,0,3,0
24,620,93,0,6.666666667,1,14,0,1,1
53,1584,242,3,6.545454545,2,10,0,3,0
22,593,90,0,6.588888889,1,12,0,1,1
81,2161,354,2,6.104519774,2,25,0,6,0
24,614,92,0,6.673913043,1,14,0,1,1
38,1215,197,7,6.16751269,2,22,0,1,0
27,730,111,0,6.576576577,1,12,0,1,1
55,1300,253,2,5.138339921,1,18,0,2,0
29,744,113,0,6.584070796,1,14,0,1,1
39,1156,220,3,5.254545455,1,15,0,1,0
43,1454,216,3,6.731481481,1,25,0,1,1
36,1161,221,4,5.253393665,1,17,0,1,0
45,1510,228,4,6.622807018,1,27,0,1,1
60,1722,265,7,6.498113208,1,37,0,8,0
33,867,143,1,6.062937063,1,17,0,1,1
54,1640,303,1,5.412541254,3,12,0,5,0
31,835,140,1,5.964285714,1,15,0,1,1
38,1372,255,3,5.380392157,1,15,0,1,0
33,861,142,1,6.063380282,1,17,0,1,1
37,1152,206,5,5.59223301,1,24,0,5,0
28,787,119,0,6.613445378,1,12,0,1,1
37,1034,212,5,4.877358491,1,24,0,5,0
28,781,118,0,6.618644068,1,12,0,1,1
55,2591,444,4,5.835585586,1,22,0,1,0
32,933,157,1,5.942675159,1,17,0,1,1
62,1700,255,0,6.666666667,4,13,0,3,0
29,901,153,1,5.888888889,1,15,0,1,1
64,1889,285,2,6.628070175,4,17,0,3,0
25,651,119,0,5.470588235,1,11,0,1,1
86,3115,455,9,6.846153846,2,35,0,7,0
19,389,81,0,4.802469136,1,7,0,1,1
47,1407,170,5,8.276470588,3,16,0,7,0
16,365,79,0,4.620253165,1,5,0,1,1
45,1364,241,5,5.659751037,2,11,0,0,0
19,389,82,0,4.743902439,1,7,0,1,1
55,1791,344,5,5.206395349,2,24,0,5,0
33,1047,167,3,6.269461078,1,18,0,1,1
51,1545,256,2,6.03515625,2,8,0,1,0
154,4924,648,4,7.598765432,1,88,2,1,1
64,2382,407,0,5.852579853,1,28,0,3,0
44,1343,190,2,7.068421053,1,27,0,1,1
35,1169,212,0,5.514150943,1,9,0,2,0
31,1027,155,2,6.625806452,1,17,0,1,1
35,1199,204,1,5.87745098,1,10,0,1,0
57,1955,283,5,6.908127208,1,36,0,1,1
49,1622,336,3,4.827380952,3,10,0,9,0
28,659,118,0,5.584745763,1,12,0,1,1
57,1816,326,3,5.570552147,2,16,0,6,0
28,658,117,0,5.623931624,1,12,0,1,1
52,1784,286,5,6.237762238,4,9,0,0,0
19,396,76,0,5.210526316,1,7,0,1,1
45,1684,288,11,5.847222222,1,35,0,3,0
16,363,72,0,5.041666667,1,5,0,1,1
37,1196,223,3,5.3632287,1,15,0,2,0
19,388,76,0,5.105263158,1,7,0,1,1
100,3490,469,3,7.441364606,3,2,0,0,0
33,832,146,1,5.698630137,1,17,0,1,1
36,1073,184,0,5.831521739,2,0,0,0,0
31,809,143,1,5.657342657,1,15,0,1,1
58,1613,259,1,6.227799228,2,5,0,0,0
37,854,149,3,5.731543624,1,20,0,1,1
84,3023,463,2,6.529157667,2,12,0,0,0
28,560,105,2,5.333333333,1,15,0,2,1
78,1830,190,0,9.631578947,9,2,0,0,0
31,635,120,2,5.291666667,1,17,0,2,1
114,3389,376,6,9.013297872,4,3,2,0,0
39,1144,160,0,7.15,1,17,0,3,1
136,3412,521,6,6.548944338,14,5,0,0,0
44,1025,162,0,6.327160494,1,21,0,4,1
135,5267,927,3,5.681769148,4,6,0,2,0
43,1081,171,0,6.321637427,1,18,0,4,1
97,2730,499,0,5.470941884,8,2,0,0,0
41,1133,150,0,7.553333333,1,23,0,3,1
89,3474,511,1,6.798434442,8,3,0,0,0
51,1329,186,1,7.14516129,1,31,0,4,1
133,4450,500,6,8.9,5,7,0,2,0
41,1117,176,1,6.346590909,1,22,0,2,1
70,1981,311,1,6.36977492,4,1,0,0,0
41,1107,174,1,6.362068966,1,22,0,2,1
82,1561,255,0,6.121568627,16,2,0,0,0
35,958,145,1,6.606896552,1,18,0,1,1
121,2865,415,2,6.903614458,10,9,0,0,0
32,863,129,1,6.689922481,1,16,0,1,1
181,5727,670,20,8.547761194,18,41,0,0,0
34,886,130,1,6.815384615,1,18,0,1,1
30,919,91,0,10.0989011,2,2,0,0,0
43,1375,224,1,6.138392857,1,30,0,6,1
177,5095,664,8,7.673192771,9,2,0,0,0
40,978,167,2,5.856287425,1,23,0,2,1
98,2883,465,1,6.2,4,2,0,0,0
40,1041,174,2,5.982758621,1,23,0,1,1
51,1505,221,0,6.809954751,3,2,0,1,0
38,951,158,1,6.018987342,1,22,0,2,1
70,1656,220,0,7.527272727,6,2,0,1,0
67,2298,315,1,7.295238095,1,41,0,6,1
120,3908,524,4,7.458015267,5,18,0,0,0
40,1020,168,1,6.071428571,1,19,0,2,1
77,1798,216,0,8.324074074,2,3,0,2,0
37,951,160,1,5.94375,1,17,0,2,1
72,2209,240,1,9.204166667,7,2,0,0,0
31,881,139,0,6.338129496,1,14,0,1,1
227,5438,717,9,7.584379358,28,2,0,0,0
29,862,137,0,6.291970803,1,13,0,1,1
106,3301,406,8,8.130541872,6,9,0,0,0
28,762,108,0,7.055555556,1,14,0,1,1
89,2706,302,1,8.960264901,4,24,0,1,0
26,734,105,0,6.99047619,1,12,0,1,1
147,5875,621,2,9.460547504,6,1,1,2,0
28,756,107,0,7.065420561,1,14,0,1,1
37,1151,150,0,7.673333333,3,2,0,0,0
144,2933,415,0,7.06746988,24,2,0,0,1
137,4500,634,11,7.097791798,3,14,0,2,0
123,4301,464,0,9.269396552,10,7,0,0,1
45,1472,233,0,6.317596567,1,0,0,0,0
44,1027,121,0,8.487603306,12,0,0,0,1
78,2760,358,1,7.709497207,6,2,0,0,0
182,6087,637,2,9.555729984,12,36,0,18,1
127,4319,438,4,9.860730594,5,9,0,3,0
159,3573,496,0,7.203629032,25,9,0,0,1
74,1370,215,0,6.372093023,12,2,0,0,0
104,3139,348,0,9.020114943,9,7,0,0,1
85,1745,257,0,6.789883268,9,4,0,0,0
62,1217,170,0,7.158823529,8,2,0,0,1
39,1150,125,0,9.2,1,15,0,0,0
59,1625,172,0,9.447674419,5,7,0,0,1
102,3223,451,0,7.146341463,6,7,0,0,0
129,3357,393,4,8.541984733,10,3,0,1,1
126,2997,378,4,7.928571429,9,7,0,0,0
141,3314,426,0,7.779342723,22,2,0,0,1
84,2655,265,1,10.01886792,6,6,0,0,0
92,2540,285,0,8.912280702,9,7,0,0,1
104,3252,404,2,8.04950495,5,2,0,0,0
97,3086,484,2,6.376033058,6,7,0,0,1
30,1007,179,0,5.625698324,1,0,0,0,0
73,2045,237,0,8.628691983,8,2,0,1,1
142,5307,706,5,7.516997167,3,3,0,1,0
80,1852,273,0,6.783882784,6,2,0,0,1
35,1002,172,0,5.825581395,0,0,0,0,0
129,4877,471,2,10.35456476,12,7,0,3,1
62,1941,318,0,6.103773585,0,0,0,0,0
146,3981,519,3,7.670520231,8,2,0,1,1
83,2418,282,1,8.574468085,6,3,0,0,0
66,1034,170,0,6.082352941,8,2,0,0,1
49,1105,208,0,5.3125,6,1,0,0,0
71,1903,219,0,8.689497717,2,2,0,0,1
36,1064,177,0,6.011299435,1,2,0,0,0
85,2226,263,2,8.463878327,9,17,0,1,1
199,6547,758,9,8.637203166,17,5,0,2,0
128,4905,442,7,11.09728507,2,21,0,1,1
46,1371,158,1,8.67721519,2,3,0,0,0
59,1030,160,0,6.4375,8,2,0,0,1
103,3425,461,5,7.429501085,10,6,0,0,0
59,1646,174,0,9.459770115,4,7,0,0,1
90,2324,306,4,7.594771242,3,24,0,1,0
79,2133,227,0,9.396475771,6,7,0,0,1
93,2900,474,1,6.11814346,5,3,0,0,0
83,2742,257,1,10.6692607,9,2,0,0,1
150,3893,591,8,6.58714044,10,3,0,0,0
34,895,135,0,6.62962963,1,2,0,0,1
67,1650,210,2,7.857142857,4,13,0,2,0
43,992,157,0,6.318471338,4,2,0,0,1
85,2566,443,0,5.792325056,5,2,0,0,0
89,4487,349,0,12.85673352,6,5,0,2,1
35,1177,206,0,5.713592233,3,0,0,0,0
184,6321,642,11,9.845794393,5,14,0,0,1
120,2969,385,3,7.711688312,8,5,0,0,0
152,3571,478,0,7.470711297,23,8,0,0,1
41,1270,238,0,5.336134454,3,0,0,0,0
92,2781,279,0,9.967741935,8,7,0,0,1
61,1696,188,1,9.021276596,3,2,0,0,0
173,5645,628,12,8.988853503,11,36,0,5,1
73,2487,359,0,6.927576602,2,8,0,0,0
184,4429,586,0,7.558020478,32,2,0,0,1
234,6220,851,13,7.309048179,15,8,1,6,0
89,1864,288,2,6.472222222,12,2,0,0,1
206,6322,624,8,10.13141026,21,10,0,1,0
64,1779,186,0,9.564516129,5,3,0,0,1
104,2323,272,0,8.540441176,2,5,1,0,0
143,2668,409,0,6.523227384,22,2,0,0,1
62,1562,192,0,8.135416667,5,4,1,0,0
66,1777,184,0,9.657608696,5,7,0,0,1
102,3650,480,2,7.604166667,2,2,0,0,0
155,5213,475,4,10.97473684,15,10,0,1,1
49,1321,212,0,6.231132075,0,0,0,0,0
36,1116,103,0,10.83495146,13,0,0,0,1
176,6022,892,6,6.751121076,12,7,0,2,0
162,6137,627,0,9.787878788,13,2,0,0,1
74,1794,248,1,7.233870968,7,2,0,0,0
77,1645,226,2,7.278761062,10,7,0,0,1
163,5211,586,1,8.892491468,14,3,0,0,0
71,2085,209,0,9.976076555,6,3,0,0,1
35,964,94,0,10.25531915,3,3,0,0,0
111,4365,349,3,12.50716332,9,9,0,1,1
117,3936,354,0,11.11864407,7,2,0,0,0
214,4451,643,0,6.922239502,38,2,0,0,1
95,2978,282,0,10.56028369,6,2,0,0,0
54,1427,149,0,9.577181208,5,7,0,0,1
50,1256,122,0,10.29508197,2,6,0,0,0
57,1693,164,1,10.32317073,5,3,0,1,1
70,1741,192,0,9.067708333,9,2,0,0,0
62,1748,307,4,5.693811075,2,6,0,2,1
65,1231,225,0,5.471111111,2,9,1,0,0
95,2897,490,5,5.912244898,2,6,0,5,1
1697,52908,6013,222,8.798935639,97,59,5,2,0
57,1314,232,2,5.663793103,2,9,0,2,1
609,19454,2142,57,9.0821662,42,18,5,2,0
54,1600,187,3,8.556149733,2,5,0,2,1
1110,38816,3965,101,9.789659521,66,54,5,21,0
53,1327,209,4,6.349282297,3,11,0,0,1
1107,34378,3910,102,8.792327366,68,54,5,20,0
128,3700,482,11,7.676348548,7,7,0,4,1
121,2184,388,0,5.628865979,2,24,1,0,0
81,2088,362,7,5.767955801,4,5,0,4,1
86,1807,293,0,6.167235495,2,15,1,0,0
80,2440,270,4,9.037037037,4,6,0,3,1
74,1330,252,0,5.277777778,2,11,1,0,0
37,1009,156,1,6.467948718,3,6,0,1,1
59,1943,159,0,12.22012579,1,12,0,0,0
39,1268,163,1,7.779141104,3,6,0,1,1
6533,225882,23891,474,9.454690051,551,17,60,24,0
42,1371,184,2,7.451086957,3,6,0,1,1
591,23244,2346,5,9.907928389,12,10,0,15,0
42,832,179,2,4.648044693,2,6,0,3,1
66,1130,228,0,4.956140351,2,9,1,0,0
50,1549,263,4,5.88973384,3,5,0,1,1
1418,48004,5004,140,9.5931255,85,82,5,31,0
48,1473,246,4,5.987804878,3,5,0,1,1
1201,37132,4232,137,8.774102079,73,50,5,10,0
26,636,118,1,5.389830508,2,8,0,0,1
8341,278990,30400,630,9.177302632,677,17,70,52,0
94,2200,351,5,6.267806268,5,21,0,3,1
58,1058,206,0,5.13592233,2,7,7,0,0
90,2756,350,9,7.874285714,5,6,0,4,1
164,5601,589,1,9.509337861,2,25,0,0,0
23,564,112,3,5.035714286,1,17,0,1,1
897,27770,3159,102,8.790756569,57,27,5,2,0
16,411,86,0,4.779069767,1,12,0,2,1
876,26585,3113,86,8.539993575,57,27,5,2,0
27,813,167,1,4.868263473,1,20,0,4,1
711,21407,2487,70,8.607559308,47,19,5,2,0
16,549,107,3,5.130841121,1,14,0,1,1
384,11145,1358,20,8.206921944,32,4,5,2,0
31,705,122,2,5.778688525,2,12,0,0,1
62,1040,211,0,4.928909953,2,8,1,0,0
21,520,95,1,5.473684211,1,15,0,1,1
802,25108,2824,72,8.890934844,53,35,5,12,0
15,317,55,0,5.763636364,1,7,0,1,1
73,2625,263,1,9.980988593,1,38,0,1,0
80,2338,403,9,5.801488834,4,25,0,9,1
1301,40086,4584,166,8.744764398,77,43,5,2,0
